GENE,SNP,baseMean,EFFECTSIZE,lfcSE,stat,pvalue,P
Myo18b,Myo18b,25.90124891,-1.476614084,0.469099381,-3.164412025,0.001553966,0.008596419
Mical2,Mical2,116.9006621,-1.475257508,0.290880548,-5.071103814,3.96E-07,7.42E-06
Eps8l1,Eps8l1,25.34073376,-1.471285376,0.439476842,-3.347216593,0.000816274,0.005082663
LOC120098327,LOC120098327,6.188500894,-1.470976832,0.463048615,-3.914350091,9.06E-05,0.000816361
Abcf1,Abcf1,3487.092915,-1.470294728,0.201466163,-7.297982953,2.92E-13,2.09E-11
Soga3,Soga3,136.5556659,-1.470253543,0.313044561,-4.696520585,2.65E-06,3.88E-05
LOC102548561,LOC102548561,4.858563639,-1.469535484,0.47320175,-3.303564035,0.000954642,0.005800105
Thsd7a,Thsd7a,30.56468951,-1.469208275,0.417397143,-3.522661768,0.000427236,0.002982772
LOC120099897,LOC120099897,57.27045569,-1.468980858,0.31853533,-4.607132179,4.08E-06,5.67E-05
LOC100359876,LOC100359876,225.4752734,-1.468847646,0.28208747,-5.206471121,1.92E-07,3.93E-06
Oog3,Oog3,33.06541126,-1.467542904,0.399892688,-3.663480782,0.000248811,0.001919975
Kantr,Kantr,12.71881285,-1.465988424,0.486606326,-3.060566859,0.002209184,0.011465129
LOC120097101,LOC120097101,4.718790621,-1.465197166,0.463130806,-3.737957703,0.000185521,0.001496516
Tonsl,Tonsl,39.0886605,-1.464958762,0.453603963,-3.239421395,0.001197725,0.006949127
LOC103694952,LOC103694952,21.35631828,-1.464663962,0.454008607,-3.236297599,0.001210911,0.007019042
LOC100362109,LOC100362109,6.340705452,-1.460871304,0.462447741,-3.919991124,8.86E-05,0.000800987
LOC120099957,LOC120099957,5.279745733,-1.460253494,0.470102424,-3.318715906,0.000904324,0.00553611
Tgm4,Tgm4,7.075483174,-1.460088568,0.480056597,-3.189626946,0.001424566,0.008012047
Ddah1,Ddah1,1423.573652,-1.455864319,0.237663827,-6.125617597,9.03E-10,3.32E-08
LOC120101665,LOC120101665,6.971150397,-1.45545156,0.487818401,-2.977210771,0.00290884,0.01433321
Mef2a,Mef2a,668.9873175,-1.454925263,0.196933411,-7.387427169,1.50E-13,1.11E-11
LOC108351978,LOC108351978,5.338709349,-1.454911625,0.462352732,-3.801807772,0.000143644,0.001205792
